paragraph_index,original_iast,aksharamukha_output,sanscript_output
17,yad vāsudevaṁ kavayo vadanti || [bhā.pu. 5.12.11] iti |,यद् वासुदेवं कवयो वदन्ति ॥ [भा.पु. ५.१२.११] इति ।,यद् वासुदेवꣳ कवयो वदन्ति ॥ [भा.पु. ५.१२.११] इति ।
18,śrī-dhruvaṁ prati śrī-manunā ca—,श्रीध्रुवं प्रति श्रीमनुना च—,श्रीध्रुवꣳ प्रति श्रीमनुना च—
19,tvaṁ pratyag-ātmani tadā bhagavaty ananta ,त्वं प्रत्यगात्मनि तदा भगवत्य् अनन्त ,त्वꣳ प्रत्यगात्मनि तदा भगवत्य् अनन्त 
20,"ānanda-mātra upapanna-samasta-śaktau
bhaktiṁ vidhāya paramāṁ śanakair avidyā-","आनन्दमात्र उपपन्नसमस्तशक्तौ
भक्तिं विधाय परमां शनकैर् अविद्या-","आनन्दमात्र उपपन्नसमस्तशक्तौ
भक्तिꣳ विधाय परमाꣳ शनकैर् अविद्या-"
21,granthiṁ vibhetsyasi mamāham iti prarūḍham [bhā.pu. 4.11.30] iti |,ग्रन्थिं विभेत्स्यसि ममाहम् इति प्ररूढम् [भा.पु. ४.११.३०] इति ।,ग्रन्थिꣳ विभेत्स्यसि ममाहम् इति प्ररूढम् [भा.पु. ४.११.३०] इति ।
22,"evaṁ cānanda-mātraṁ viśeṣyaṁ, samastāḥ śaktayo viśeṣaṇāni, viśiṣṭo bhagavān ity āyātam | tathā caivaṁ vaiśiṣṭye prāpte pūrṇāvirbhāvatvenākhaṇḍa-tattva-rūpo’sau bhagavān | brahma tu sphuṭam aprakaṭita-vaiśiṣṭyākāratvena tasyaivāsamyag āvirbhāva ity āgatam | idaṁ tu purastād vistareṇa vivecanīyam | ","एवं चानन्दमात्रं विशेष्यं, समस्ताः शक्तयो विशेषणानि, विशिष्टो भगवान् इत्य् आयातम् । तथा चैवं वैशिष्ट्ये प्राप्ते पूर्णाविर्भावत्वेनाखण्डतत्त्वरूपोऽसौ भगवान् । ब्रह्म तु स्फुटम् अप्रकटितवैशिष्ट्याकारत्वेन तस्यैवासम्यग् आविर्भाव इत्य् आगतम् । इदं तु पुरस्ताद् विस्तरेण विवेचनीयम् । ","एवꣳ चानन्दमात्रꣳ विशेष्यꣳ, समस्ताः शक्तयो विशेषणानि, विशिष्टो भगवान् इत्य् आयातम् । तथा चैवꣳ वैशिष्ट्ये प्राप्ते पूर्णाविर्भावत्वेनाखण्डतत्त्वरूपोऽसौ भगवान् । ब्रह्म तु स्फुटम् अप्रकटितवैशिष्ट्याकारत्वेन तस्यैवासम्यग् आविर्भाव इत्य् आगतम् । इदꣳ तु पुरस्ताद् विस्तरेण विवेचनीयम् । "
25,anirdeśyam arūpaṁ ca pāṇi-pādādy-asaṁyutam ||,अनिर्देश्यम् अरूपं च पाणिपादाद्यसंयुतम् ॥,अनिर्देश्यम् अरूपꣳ च पाणिपादाद्यसꣳयुतम् ॥
26,vibhuṁ sarva-gataṁ nityaṁ bhūta-yonim akāraṇam |,विभुं सर्वगतं नित्यं भूतयोनिम् अकारणम् ।,विभुꣳ सर्वगतꣳ नित्यꣳ भूतयोनिम् अकारणम् ।
27,vyāpy avyāpyaṁ yataḥ sarvaṁ tad vai paśyanti sūrayaḥ ||,व्याप्य् अव्याप्यं यतः सर्वं तद् वै पश्यन्ति सूरयः ॥,व्याप्य् अव्याप्यꣳ यतः सर्वꣳ तद् वै पश्यन्ति सूरयः ॥
28,tad brahma paramaṁ dhāma tad dhyeyaṁ mokṣa-kāṅkṣiṇām |,तद् ब्रह्म परमं धाम तद् ध्येयं मोक्षकाङ्क्षिणाम् ।,तद् ब्रह्म परमꣳ धाम तद् ध्येयꣳ मोक्षकाङ्क्षिणाम् ।
29,śruti-vākyoditaṁ sūkṣmaṁ tad viṣṇoḥ paramaṁ padam ||,श्रुतिवाक्योदितं सूक्ष्मं तद् विष्णोः परमं पदम् ॥,श्रुतिवाक्योदितꣳ सूक्ष्मꣳ तद् विष्णोः परमꣳ पदम् ॥
30,tad etad bhagavad-vācyaṁ svarūpaṁ paramātmanaḥ | ,तद् एतद् भगवद्वाच्यं स्वरूपं परमात्मनः । ,तद् एतद् भगवद्वाच्यꣳ स्वरूपꣳ परमात्मनः । 
36,jñāna-vairāgyayoś caiva ṣaṇṇāṁ bhaga itīṅganā ||,ज्ञानवैराग्ययोश् चैव षण्णां भग इतीङ्गना ॥,ज्ञानवैराग्ययोश् चैव षण्णाꣳ भग इतीङ्गना ॥
39,jñāna-śakti-balaiśvarya-vīrya-tejāṁsy aśeṣataḥ |,ज्ञानशक्तिबलैश्वर्यवीर्यतेजांस्य् अशेषतः ।,ज्ञानशक्तिबलैश्वर्यवीर्यतेजाꣳस्य् अशेषतः ।
41,pūrvavad atra viśeṣya-viśeṣaṇa-viśiṣṭatā vivecanīyā | viśeṣaṇasyāpy aheyatvaṁ vyaktībhaviṣyatīti | arūpaṁ pāṇi-pādādy-asaṁyutam itīdaṁ brahmākhya-kevala-viśeṣyāvirbhāva-niṣṭham | aiśvaryasya samagrasya ity ādhikaṁ kevala-viśeṣaṇa-niṣṭham | vibhuṁ sarva-gatam ity ādikaṁ tu viśiṣṭa-niṣṭham | ,पूर्ववद् अत्र विशेष्यविशेषणविशिष्टता विवेचनीया । विशेषणस्याप्य् अहेयत्वं व्यक्तीभविष्यतीति । अरूपं पाणिपादाद्यसंयुतम् इतीदं ब्रह्माख्यकेवलविशेष्याविर्भावनिष्ठम् । ऐश्वर्यस्य समग्रस्य इत्य् आधिकं केवलविशेषणनिष्ठम् । विभुं सर्वगतम् इत्य् आदिकं तु विशिष्टनिष्ठम् । ,पूर्ववद् अत्र विशेष्यविशेषणविशिष्टता विवेचनीया । विशेषणस्याप्य् अहेयत्वꣳ व्यक्तीभविष्यतीति । अरूपꣳ पाणिपादाद्यसꣳयुतम् इतीदꣳ ब्रह्माख्यकेवलविशेष्याविर्भावनिष्ठम् । ऐश्वर्यस्य समग्रस्य इत्य् आधिकꣳ केवलविशेषणनिष्ठम् । विभुꣳ सर्वगतम् इत्य् आदिकꣳ तु विशिष्टनिष्ठम् । 
42,"athavā, arūpam ity-ādikaṁ prākṛta-rūpādi-niṣedha-niṣṭham | ata eva pāṇi-pādādya-saṁyutam iti saṁyoga-sambandha eva parihriyate, na tu samavāya-sambandha iti jñeyam | vibhum iti sarva-vaibhava-yuktam ity arthaḥ | sarva-gatam aparicchinnam |  vyāpīti sarva-vyāpakam | avyāptam iti anyena vyāptum aśakyam | tad etad brahma-svarūpaṁ bhagavac-chabdena vācyam, na tu lakṣyam | ","अथवा, अरूपम् इत्यादिकं प्राकृतरूपादिनिषेधनिष्ठम् । अत एव पाणिपादाद्यसंयुतम् इति संयोगसम्बन्ध एव परिह्रियते, न तु समवायसम्बन्ध इति ज्ञेयम् । विभुम् इति सर्ववैभवयुक्तम् इत्य् अर्थः । सर्वगतम् अपरिच्छिन्नम् ।  व्यापीति सर्वव्यापकम् । अव्याप्तम् इति अन्येन व्याप्तुम् अशक्यम् । तद् एतद् ब्रह्मस्वरूपं भगवच्छब्देन वाच्यम्, न तु लक्ष्यम् । ","अथवा, अरूपम् इत्यादिकꣳ प्राकृतरूपादिनिषेधनिष्ठम् । अत एव पाणिपादाद्यसꣳयुतम् इति सꣳयोगसम्बन्ध एव परिह्रियते, न तु समवायसम्बन्ध इति ज्ञेयम् । विभुम् इति सर्ववैभवयुक्तम् इत्य् अर्थः । सर्वगतम् अपरिच्छिन्नम् ।  व्यापीति सर्वव्यापकम् । अव्याप्तम् इति अन्येन व्याप्तुम् अशक्यम् । तद् एतद् ब्रह्मस्वरूपꣳ भगवच्छब्देन वाच्यम्, न तु लक्ष्यम् । "
43,"tad eva nirdhārayati bhagavac-chabdo’yaṁ tasya nadī-viśeṣasya gaṅgā-śabdavad vācaka eva, na tu taṭa-śabdaval-lakṣakaḥ | ","तद् एव निर्धारयति भगवच्छब्दोऽयं तस्य नदीविशेषस्य गङ्गाशब्दवद् वाचक एव, न तु तटशब्दवल्लक्षकः । ","तद् एव निर्धारयति भगवच्छब्दोऽयꣳ तस्य नदीविशेषस्य गङ्गाशब्दवद् वाचक एव, न तु तटशब्दवल्लक्षकः । "
44,"evaṁ saty akṣara-sāmyān nirbrūyād [nirukta 1.1.2] iti nirukta-matam āśritya rūḍhim apy āśritya bhagādi-śabdānām artham āha—sambharta iti | sambhartā sva-bhaktānāṁ poṣakaḥ | bhartā dhārakaḥ sthāpakaḥ ity arthaḥ | netā sva-bhakti-phalasya premṇaḥ prāpakaḥ | gamayitā sva-loka-prāpakaḥ | sraṣṭā sva-bhakteṣu tat-tad-guṇasyodgamayitā | jagat-poṣakatvādikaṁ tu tasya paramparayaiva, na tu sākṣād iti jñeyam | ","एवं सत्य् अक्षरसाम्यान् निर्ब्रूयाद् [निरुक्त १.१.२] इति निरुक्तमतम् आश्रित्य रूढिम् अप्य् आश्रित्य भगादिशब्दानाम् अर्थम् आह—सम्भर्त इति । सम्भर्ता स्वभक्तानां पोषकः । भर्ता धारकः स्थापकः इत्य् अर्थः । नेता स्वभक्तिफलस्य प्रेम्णः प्रापकः । गमयिता स्वलोकप्रापकः । स्रष्टा स्वभक्तेषु तत्तद्गुणस्योद्गमयिता । जगत्पोषकत्वादिकं तु तस्य परम्परयैव, न तु साक्षाद् इति ज्ञेयम् । ","एवꣳ सत्य् अक्षरसाम्यान् निर्ब्रूयाद् [निरुक्त १.१.२] इति निरुक्तमतम् आश्रित्य रूढिम् अप्य् आश्रित्य भगादिशब्दानाम् अर्थम् आह—सम्भर्त इति । सम्भर्ता स्वभक्तानाꣳ पोषकः । भर्ता धारकः स्थापकः इत्य् अर्थः । नेता स्वभक्तिफलस्य प्रेम्णः प्रापकः । गमयिता स्वलोकप्रापकः । स्रष्टा स्वभक्तेषु तत्तद्गुणस्योद्गमयिता । जगत्पोषकत्वादिकꣳ तु तस्य परम्परयैव, न तु साक्षाद् इति ज्ञेयम् । "
45,"aiśvaryaṁ sarva-vaśīkāritvam | samagrasyeti sarvatrānveti | vīryaṁ maṇi-mantrāder iva prabhāvaḥ | yaśo vāṅ-manaḥ-śarīrāṇāṁ sādguṇya-khyātiḥ | śrīḥ sarva-prakārā sampat | jñānaṁ sarvajñatvam | vairāgyaṁ prapañca-vastv-anāsaktiḥ | iṅganā saṁjñā | akṣara-sāmya-pakṣe bha-ga-va-vān iti vaktavye matupo va-lopaś chāndasaḥ | sambhartety-ādiṣu sambhartṛtvādiṣv eva tātparyam, yathā sup-tiṅ-anta-cayo vākyam [amara 1.280] ity atra pacati bhavatīty asya vākyasya pāko bhavatīty arthaḥ kriyate | yathā vā, sattāyām asti bhavatīty atra dhātv-artha eva vivakṣitaḥ | tad evam eva bhagavān ity atra matub-artho yojayituṁ śakyate | ","ऐश्वर्यं सर्ववशीकारित्वम् । समग्रस्येति सर्वत्रान्वेति । वीर्यं मणिमन्त्रादेर् इव प्रभावः । यशो वाङ्मनःशरीराणां साद्गुण्यख्यातिः । श्रीः सर्वप्रकारा सम्पत् । ज्ञानं सर्वज्ञत्वम् । वैराग्यं प्रपञ्चवस्त्वनासक्तिः । इङ्गना संज्ञा । अक्षरसाम्यपक्षे भगववान् इति वक्तव्ये मतुपो वलोपश् छान्दसः । सम्भर्तेत्यादिषु सम्भर्तृत्वादिष्व् एव तात्पर्यम्, यथा सुप्तिङन्तचयो वाक्यम् [अमर १.२८०] इत्य् अत्र पचति भवतीत्य् अस्य वाक्यस्य पाको भवतीत्य् अर्थः क्रियते । यथा वा, सत्तायाम् अस्ति भवतीत्य् अत्र धात्वर्थ एव विवक्षितः । तद् एवम् एव भगवान् इत्य् अत्र मतुबर्थो योजयितुं शक्यते । ","ऐश्वर्यꣳ सर्ववशीकारित्वम् । समग्रस्येति सर्वत्रान्वेति । वीर्यꣳ मणिमन्त्रादेर् इव प्रभावः । यशो वाङ्मनःशरीराणाꣳ साद्गुण्यख्यातिः । श्रीः सर्वप्रकारा सम्पत् । ज्ञानꣳ सर्वज्ञत्वम् । वैराग्यꣳ प्रपञ्चवस्त्वनासक्तिः । इङ्गना सꣳज्ञा । अक्षरसाम्यपक्षे भगववान् इति वक्तव्ये मतुपो वलोपश् छान्दसः । सम्भर्तेत्यादिषु सम्भर्तृत्वादिष्व् एव तात्पर्यम्, यथा सुप्तिङन्तचयो वाक्यम् [अमर १.२८०] इत्य् अत्र पचति भवतीत्य् अस्य वाक्यस्य पाको भवतीत्य् अर्थः क्रियते । यथा वा, सत्तायाम् अस्ति भवतीत्य् अत्र धात्वर्थ एव विवक्षितः । तद् एवम् एव भगवान् इत्य् अत्र मतुबर्थो योजयितुꣳ शक्यते । "
46,"prakārāntareṇa ṣaḍ-bhagān darśayati—jñāna-śaktīti | jñānam antaḥ-karaṇasya, śaktir indriyāṇām | balaṁ śarīrasya | aiśvarya-vīrye vyākhyāte | tejaḥ kāntiḥ | aśeṣataḥ sāmagryeṇety arthaḥ | bhagavac-chabda-vācyānīti | bhagavato viśeṣaṇāny evaitāni, na tūpalakṣaṇānīty arthaḥ | atra bhagavān iti nitya-yoge matup | ","प्रकारान्तरेण षड्भगान् दर्शयति—ज्ञानशक्तीति । ज्ञानम् अन्तःकरणस्य, शक्तिर् इन्द्रियाणाम् । बलं शरीरस्य । ऐश्वर्यवीर्ये व्याख्याते । तेजः कान्तिः । अशेषतः सामग्र्येणेत्य् अर्थः । भगवच्छब्दवाच्यानीति । भगवतो विशेषणान्य् एवैतानि, न तूपलक्षणानीत्य् अर्थः । अत्र भगवान् इति नित्ययोगे मतुप् । ","प्रकारान्तरेण षड्भगान् दर्शयति—ज्ञानशक्तीति । ज्ञानम् अन्तःकरणस्य, शक्तिर् इन्द्रियाणाम् । बलꣳ शरीरस्य । ऐश्वर्यवीर्ये व्याख्याते । तेजः कान्तिः । अशेषतः सामग्र्येणेत्य् अर्थः । भगवच्छब्दवाच्यानीति । भगवतो विशेषणान्य् एवैतानि, न तूपलक्षणानीत्य् अर्थः । अत्र भगवान् इति नित्ययोगे मतुप् । "
47,"atha tathā-vidha-bhagavad-rūpa-pūrṇāvirbhāvaṁ tat tattvaṁ pūrvavaj jīvādi-niyantṛtvena sphurad vā pratipādyamānaṁ vā paramātmeti śabdyata iti | yadyapy ete brahmādi-śabdāḥ prāyo mitho’rtheṣu vartante, tathāpi tatra tatra saṅketa-prādhānya-vivakṣayedam uktam || ","अथ तथाविधभगवद्रूपपूर्णाविर्भावं तत् तत्त्वं पूर्ववज् जीवादिनियन्तृत्वेन स्फुरद् वा प्रतिपाद्यमानं वा परमात्मेति शब्द्यत इति । यद्यप्य् एते ब्रह्मादिशब्दाः प्रायो मिथोऽर्थेषु वर्तन्ते, तथापि तत्र तत्र सङ्केतप्राधान्यविवक्षयेदम् उक्तम् ॥ ","अथ तथाविधभगवद्रूपपूर्णाविर्भावꣳ तत् तत्त्वꣳ पूर्ववज् जीवादिनियन्तृत्वेन स्फुरद् वा प्रतिपाद्यमानꣳ वा परमात्मेति शब्द्यत इति । यद्यप्य् एते ब्रह्मादिशब्दाः प्रायो मिथोऽर्थेषु वर्तन्ते, तथापि तत्र तत्र सङ्केतप्राधान्यविवक्षयेदम् उक्तम् ॥ "
49,evam eva praśnottarābhyāṁ vivṛṇoti | rājovāca—,एवम् एव प्रश्नोत्तराभ्यां विवृणोति । राजोवाच—,एवम् एव प्रश्नोत्तराभ्याꣳ विवृणोति । राजोवाच—
51,niṣṭhām arhatha no vaktuṁ yūyaṁ hi brahma-vittamāḥ || [bhā.pu. 11.3.35],निष्ठाम् अर्हथ नो वक्तुं यूयं हि ब्रह्मवित्तमाः ॥ [भा.पु. ११.३.३५],निष्ठाम् अर्हथ नो वक्तुꣳ यूयꣳ हि ब्रह्मवित्तमाः ॥ [भा.पु. ११.३.३५]
56,sañjīvitāni tad avehi paraṁ narendra || [bhā.pu. 11.3.36],सञ्जीवितानि तद् अवेहि परं नरेन्द्र ॥ [भा.पु. ११.३.३६],सञ्जीवितानि तद् अवेहि परꣳ नरेन्द्र ॥ [भा.पु. ११.३.३६]
57,"atra praśnasyārthaḥ—nārāyaṇābhidhānasya bhagavataḥ | brahmeti paramātmety-ādi-prasiddha-tat-samudāya-tṛtīyatayā pāṭhāt | svāṁśena viṣṭaḥ puruṣābhidhānam avāpa nārāyaṇa ādi-devaḥ [bhā.pu. 11.4.3] iti atra tat-samānārthatvāt | nārāyaṇas tvaṁ [bhā.pu. 10.14.14] ity ādau vakṣyamāṇa-nirukty-anusārāc ca, nārāyaṇe turīyākhye bhagavac-chabda-śabdite [bhā.pu. 11.15.16] ity atra spaṣṭībhāvitvāc ca | niṣṭhāṁ tattvam | ","अत्र प्रश्नस्यार्थः—नारायणाभिधानस्य भगवतः । ब्रह्मेति परमात्मेत्यादिप्रसिद्धतत्समुदायतृतीयतया पाठात् । स्वांशेन विष्टः पुरुषाभिधानम् अवाप नारायण आदिदेवः [भा.पु. ११.४.३] इति अत्र तत्समानार्थत्वात् । नारायणस् त्वं [भा.पु. १०.१४.१४] इत्य् आदौ वक्ष्यमाणनिरुक्त्यनुसाराच् च, नारायणे तुरीयाख्ये भगवच्छब्दशब्दिते [भा.पु. ११.१५.१६] इत्य् अत्र स्पष्टीभावित्वाच् च । निष्ठां तत्त्वम् । ","अत्र प्रश्नस्यार्थः—नारायणाभिधानस्य भगवतः । ब्रह्मेति परमात्मेत्यादिप्रसिद्धतत्समुदायतृतीयतया पाठात् । स्वाꣳशेन विष्टः पुरुषाभिधानम् अवाप नारायण आदिदेवः [भा.पु. ११.४.३] इति अत्र तत्समानार्थत्वात् । नारायणस् त्वꣳ [भा.पु. १०.१४.१४] इत्य् आदौ वक्ष्यमाणनिरुक्त्यनुसाराच् च, नारायणे तुरीयाख्ये भगवच्छब्दशब्दिते [भा.पु. ११.१५.१६] इत्य् अत्र स्पष्टीभावित्वाच् च । निष्ठाꣳ तत्त्वम् । "
58,"praśna-krameṇaivottaram āha—sthitīti | yat sthity-ādi-hetur ahetuś ca bhavati, yac ca jāgarādiṣu sad bahiś ca bhavati, yena ca dehādīni sañjīvitāni santi caranti, tad ekam eva paraṁ tattvaṁ sva-praśna-krameṇa nārāyaṇādi-rūpaṁ viddhīti yojanīyam | tathāpi brahmatva-spaṣṭīkaraṇāya viparyayena vyākhyāyate | tatraikasyaiva viśeṣaṇa-bhedena tad-aviśiṣṭatvena ca pratipādanāt tathaiva tat-tad-upāsaka-puruṣānubhava-bhedāc cāvirbhāva-nāmnor bheda ity uttara-vākya-tātparyam |","प्रश्नक्रमेणैवोत्तरम् आह—स्थितीति । यत् स्थित्यादिहेतुर् अहेतुश् च भवति, यच् च जागरादिषु सद् बहिश् च भवति, येन च देहादीनि सञ्जीवितानि सन्ति चरन्ति, तद् एकम् एव परं तत्त्वं स्वप्रश्नक्रमेण नारायणादिरूपं विद्धीति योजनीयम् । तथापि ब्रह्मत्वस्पष्टीकरणाय विपर्ययेन व्याख्यायते । तत्रैकस्यैव विशेषणभेदेन तदविशिष्टत्वेन च प्रतिपादनात् तथैव तत्तदुपासकपुरुषानुभवभेदाच् चाविर्भावनाम्नोर् भेद इत्य् उत्तरवाक्यतात्पर्यम् ।","प्रश्नक्रमेणैवोत्तरम् आह—स्थितीति । यत् स्थित्यादिहेतुर् अहेतुश् च भवति, यच् च जागरादिषु सद् बहिश् च भवति, येन च देहादीनि सञ्जीवितानि सन्ति चरन्ति, तद् एकम् एव परꣳ तत्त्वꣳ स्वप्रश्नक्रमेण नारायणादिरूपꣳ विद्धीति योजनीयम् । तथापि ब्रह्मत्वस्पष्टीकरणाय विपर्ययेन व्याख्यायते । तत्रैकस्यैव विशेषणभेदेन तदविशिष्टत्वेन च प्रतिपादनात् तथैव तत्तदुपासकपुरुषानुभवभेदाच् चाविर्भावनाम्नोर् भेद इत्य् उत्तरवाक्यतात्पर्यम् ।"
