paragraph_index,original_iast,aksharamukha_output,sanscript_output
41,karma ca jaḍam adṛṣṭādi-śabda-vyapadeśyam anādi vināśi ca bhavati | caturṇām eṣāṁ brahma-śaktitvād ekaṁ śaktimad-brahmety advaita-vākye’pi saṅgatir itīme’rthāś caturlakṣaṇyām asyāṁ yathāsthalaṁ prakāśyante | lakṣaṇāny adhyāyāḥ | tad-arthātmake śrī-bhāgavate vivriyate | ,कर्म च जडम् अदृष्टादिशब्दव्यपदेश्यम् अनादि विनाशि च भवति । चतुर्णाम् एषां ब्रह्मशक्तित्वाद् एकं शक्तिमद्ब्रह्मेत्य् अद्वैतवाक्येऽपि सङ्गतिर् इतीमेऽर्थाश् चतुर्लक्षण्याम् अस्यां यथास्थलं प्रकाश्यन्ते । लक्षणान्य् अध्यायाः । तदर्थात्मके श्रीभागवते विव्रियते । ,कर्म च जडम् अदृष्टादिशब्दव्यपदेश्यम् अनादि विनाशि च भवति । चतुर्णाम् एषाꣳ ब्रह्मशक्तित्वाद् एकꣳ शक्तिमद्ब्रह्मेत्य् अद्वैतवाक्येऽपि सङ्गतिर् इतीमेऽर्थाश् चतुर्लक्षण्याम् अस्याꣳ यथास्थलꣳ प्रकाश्यन्ते । लक्षणान्य् अध्यायाः । तदर्थात्मके श्रीभागवते विव्रियते । 
44,apaśyat puruṣaṁ pūrṇaṁ māyāṁ ca tad-apāśrayam || ,अपश्यत् पुरुषं पूर्णं मायां च तदपाश्रयम् ॥ ,अपश्यत् पुरुषꣳ पूर्णꣳ मायाꣳ च तदपाश्रयम् ॥ 
45,yayā sammohito jīva ātmānaṁ tri-guṇātmakam |,यया सम्मोहितो जीव आत्मानं त्रिगुणात्मकम् ।,यया सम्मोहितो जीव आत्मानꣳ त्रिगुणात्मकम् ।
46,paro 'pi manute 'narthaṁ tat-kṛtaṁ cābhipadyate ||,परो ऽपि मनुते ऽनर्थं तत्कृतं चाभिपद्यते ॥,परो ऽपि मनुते ऽनर्थꣳ तत्कृतꣳ चाभिपद्यते ॥
47,anarthopaśamaṁ sākṣād bhakti-yogam adhokṣaje |,अनर्थोपशमं साक्षाद् भक्तियोगम् अधोक्षजे ।,अनर्थोपशमꣳ साक्षाद् भक्तियोगम् अधोक्षजे ।
48,lokasyājānato vidvāṁś cakre sātvata-saṁhitām || [bhā.pu. 1.7.4-6] iti |,लोकस्याजानतो विद्वांश् चक्रे सात्वतसंहिताम् ॥ [भा.पु. १.७.४-६] इति ।,लोकस्याजानतो विद्वाꣳश् चक्रे सात्वतसꣳहिताम् ॥ [भा.पु. १.७.४-६] इति ।
50,dravyaṁ karma ca kālaś ca svabhāvo jīva eva ca |,द्रव्यं कर्म च कालश् च स्वभावो जीव एव च ।,द्रव्यꣳ कर्म च कालश् च स्वभावो जीव एव च ।
53,asya sūtrārthyatvaṁ ca smaryate—artho’yaṁ brahma-sūtrāṇām iti | ,अस्य सूत्रार्थ्यत्वं च स्मर्यते—अर्थोऽयं ब्रह्मसूत्राणाम् इति । ,अस्य सूत्रार्थ्यत्वꣳ च स्मर्यते—अर्थोऽयꣳ ब्रह्मसूत्राणाम् इति । 
55,tatra prathame lakṣaṇe sarveṣāṁ vedānāṁ brahmaṇi samanvayaḥ | dvitīye sarva-śāstrāvirodhaḥ | tṛtīye brahmāpti-sādhanāni | caturthe tu tad-āptiḥ phalam iti | yatra niṣkāma-dharma-nirmala-cittaḥ sat-prasaṅga-lubdhaḥ śraddhāluḥ śānty-ādimān adhikārī | sambandho vācya-vācaka-bhāvaḥ | viṣayo niravadyo viśuddhānanta-guṇa-gaṇo’cintyānanta-śaktiḥ sac-cid-ānandaḥ puruṣottamaḥ | prayojanaṁ tv aśeṣa-doṣa-vināśa-puraḥsaras tat-sākṣātkāra ity upari spaṣṭaṁ bhāvi |,तत्र प्रथमे लक्षणे सर्वेषां वेदानां ब्रह्मणि समन्वयः । द्वितीये सर्वशास्त्राविरोधः । तृतीये ब्रह्माप्तिसाधनानि । चतुर्थे तु तदाप्तिः फलम् इति । यत्र निष्कामधर्मनिर्मलचित्तः सत्प्रसङ्गलुब्धः श्रद्धालुः शान्त्यादिमान् अधिकारी । सम्बन्धो वाच्यवाचकभावः । विषयो निरवद्यो विशुद्धानन्तगुणगणोऽचिन्त्यानन्तशक्तिः सच्चिदानन्दः पुरुषोत्तमः । प्रयोजनं त्व् अशेषदोषविनाशपुरःसरस् तत्साक्षात्कार इत्य् उपरि स्पष्टं भावि ।,तत्र प्रथमे लक्षणे सर्वेषाꣳ वेदानाꣳ ब्रह्मणि समन्वयः । द्वितीये सर्वशास्त्राविरोधः । तृतीये ब्रह्माप्तिसाधनानि । चतुर्थे तु तदाप्तिः फलम् इति । यत्र निष्कामधर्मनिर्मलचित्तः सत्प्रसङ्गलुब्धः श्रद्धालुः शान्त्यादिमान् अधिकारी । सम्बन्धो वाच्यवाचकभावः । विषयो निरवद्यो विशुद्धानन्तगुणगणोऽचिन्त्यानन्तशक्तिः सच्चिदानन्दः पुरुषोत्तमः । प्रयोजनꣳ त्व् अशेषदोषविनाशपुरःसरस् तत्साक्षात्कार इत्य् उपरि स्पष्टꣳ भावि ।
57,yasyāṁ khalu viṣaya-saṁśaya-pūrvapakṣa-siddhānta-saṅgati-bhedāt pañca nyāyāṅgāni bhavanti | nyāyo’dhikaraṇāt | viṣayo vicāra-yoga-vākyam | saṅgatir iha śāstrādi-viṣayatayā bahu-vidhā’pi na vitāyate | viṣayāvagatau svayam eva vidyotanāt | ,यस्यां खलु विषयसंशयपूर्वपक्षसिद्धान्तसङ्गतिभेदात् पञ्च न्यायाङ्गानि भवन्ति । न्यायोऽधिकरणात् । विषयो विचारयोगवाक्यम् । सङ्गतिर् इह शास्त्रादिविषयतया बहुविधाऽपि न वितायते । विषयावगतौ स्वयम् एव विद्योतनात् । ,यस्याꣳ खलु विषयसꣳशयपूर्वपक्षसिद्धान्तसङ्गतिभेदात् पञ्च न्यायाङ्गानि भवन्ति । न्यायोऽधिकरणात् । विषयो विचारयोगवाक्यम् । सङ्गतिर् इह शास्त्रादिविषयतया बहुविधाऽपि न वितायते । विषयावगतौ स्वयम् एव विद्योतनात् । 
61,"ity evaṁ sthite brahma-jijñāsādhikaraṇaṁ tâvat pravartate | yo vai bhūmā tat sukhaṁ nānyat sukham asti | bhūmaiva sukhaṁ bhūmā tv eva vijijñāsitavyaḥ [chā.u. 7.25.1] iti | ātmā vā are draṣṭavyaḥ śrotavyo mantavyo nididhyāsitavyo maitreyi [bṛ.ā.u. 2.4.5] iti ca śrūyate | nididhyāsitavyo jijñāsitavyaḥ | iti bhavati saṁśayaḥ | adhīta-vedasya puṁso dharmajñasya brahma-jijñāsā yuktā na yuktā veti ? apāmasomam amṛtā abhūma, akṣayyaṁ ha vai cāturmāsya-yājinaḥ sukṛtaṁ bhavatīty-ādiṣu dharmair amṛtatvāksayya-sukhatva-śravaṇān na yukteti pūrvasmin pakṣe prāpte bhagavān bādarāyaṇo vyāsaḥ prāripsitasya śāstrasyādimaṁ sūtram idam avatārayati—","इत्य् एवं स्थिते ब्रह्मजिज्ञासाधिकरणं त्âवत् प्रवर्तते । यो वै भूमा तत् सुखं नान्यत् सुखम् अस्ति । भूमैव सुखं भूमा त्व् एव विजिज्ञासितव्यः [छा.उ. ७.२५.१] इति । आत्मा वा अरे द्रष्टव्यः श्रोतव्यो मन्तव्यो निदिध्यासितव्यो मैत्रेयि [बृ.आ.उ. २.४.५] इति च श्रूयते । निदिध्यासितव्यो जिज्ञासितव्यः । इति भवति संशयः । अधीतवेदस्य पुंसो धर्मज्ञस्य ब्रह्मजिज्ञासा युक्ता न युक्ता वेति ? अपामसोमम् अमृता अभूम, अक्षय्यं ह वै चातुर्मास्ययाजिनः सुकृतं भवतीत्यादिषु धर्मैर् अमृतत्वाक्सय्यसुखत्वश्रवणान् न युक्तेति पूर्वस्मिन् पक्षे प्राप्ते भगवान् बादरायणो व्यासः प्रारिप्सितस्य शास्त्रस्यादिमं सूत्रम् इदम् अवतारयति—","इत्य् एवꣳ स्थिते ब्रह्मजिज्ञासाधिकरणꣳ त्âवत् प्रवर्तते । यो वै भूमा तत् सुखꣳ नान्यत् सुखम् अस्ति । भूमैव सुखꣳ भूमा त्व् एव विजिज्ञासितव्यः [छा.उ. ७.२५.१] इति । आत्मा वा अरे द्रष्टव्यः श्रोतव्यो मन्तव्यो निदिध्यासितव्यो मैत्रेयि [बृ.आ.उ. २.४.५] इति च श्रूयते । निदिध्यासितव्यो जिज्ञासितव्यः । इति भवति सꣳशयः । अधीतवेदस्य पुꣳसो धर्मज्ञस्य ब्रह्मजिज्ञासा युक्ता न युक्ता वेति ? अपामसोमम् अमृता अभूम, अक्षय्यꣳ ह वै चातुर्मास्ययाजिनः सुकृतꣳ भवतीत्यादिषु धर्मैर् अमृतत्वाक्सय्यसुखत्वश्रवणान् न युक्तेति पूर्वस्मिन् पक्षे प्राप्ते भगवान् बादरायणो व्यासः प्रारिप्सितस्य शास्त्रस्यादिमꣳ सूत्रम् इदम् अवतारयति—"
65,athātaḥ śabdāv atrānantarya-hetu-bhāvayor bhavataḥ | athānantaram ato brahma-jijñāsā yuktety akṣara-yojanā | vidhinādhīta-vedasyāpātato’dhigata-tad-arthasyāśrama-satyādibhiś ca vimṛṣṭa-sattvasya labdha-tattva-vit-prasaṅgasyātha tat-prasaṅgānantaram ataḥ kāmya-karmāṇi parimitānitya-phalāni | brahma-svarūpaṁ tu jñāna-labhyam akṣayānanta-cit-sukhaṁ nitya-jñānādi-guṇakaṁ nitya-sukha-hetur iti pratyayāt kāmya-karma-prahāṇa-puraḥ sarā catur-laksaṇyā jijñāsā yuktety arthaḥ |,अथातः शब्दाव् अत्रानन्तर्यहेतुभावयोर् भवतः । अथानन्तरम् अतो ब्रह्मजिज्ञासा युक्तेत्य् अक्षरयोजना । विधिनाधीतवेदस्यापाततोऽधिगततदर्थस्याश्रमसत्यादिभिश् च विमृष्टसत्त्वस्य लब्धतत्त्ववित्प्रसङ्गस्याथ तत्प्रसङ्गानन्तरम् अतः काम्यकर्माणि परिमितानित्यफलानि । ब्रह्मस्वरूपं तु ज्ञानलभ्यम् अक्षयानन्तचित्सुखं नित्यज्ञानादिगुणकं नित्यसुखहेतुर् इति प्रत्ययात् काम्यकर्मप्रहाणपुरः सरा चतुर्लक्सण्या जिज्ञासा युक्तेत्य् अर्थः ।,अथातः शब्दाव् अत्रानन्तर्यहेतुभावयोर् भवतः । अथानन्तरम् अतो ब्रह्मजिज्ञासा युक्तेत्य् अक्षरयोजना । विधिनाधीतवेदस्यापाततोऽधिगततदर्थस्याश्रमसत्यादिभिश् च विमृष्टसत्त्वस्य लब्धतत्त्ववित्प्रसङ्गस्याथ तत्प्रसङ्गानन्तरम् अतः काम्यकर्माणि परिमितानित्यफलानि । ब्रह्मस्वरूपꣳ तु ज्ञानलभ्यम् अक्षयानन्तचित्सुखꣳ नित्यज्ञानादिगुणकꣳ नित्यसुखहेतुर् इति प्रत्ययात् काम्यकर्मप्रहाणपुरः सरा चतुर्लक्सण्या जिज्ञासा युक्तेत्य् अर्थः ।
67,"nanv adhītād vedād eva tat-tad-avagatiḥ syād adhyayanasyārthāvabodhana-paryantatvāt | tatas tat-prahāṇe tad-upāsane ca dhīḥ pravartate | kim anayā catur-lakṣaṇyena ced, ucyate | āpātataḥ pratītād arthād vāstavād api saṁśaya-viparyayābhyāṁ dhīr vibhraṁśate | sopapattikaryā tayā nu adhītayā tāvativartya paramārthe tasminn asau sthirībhavatīty āvaśyakaṁ tad-adhyayanāt | ","नन्व् अधीताद् वेदाद् एव तत्तदवगतिः स्याद् अध्ययनस्यार्थावबोधनपर्यन्तत्वात् । ततस् तत्प्रहाणे तदुपासने च धीः प्रवर्तते । किम् अनया चतुर्लक्षण्येन चेद्, उच्यते । आपाततः प्रतीताद् अर्थाद् वास्तवाद् अपि संशयविपर्ययाभ्यां धीर् विभ्रंशते । सोपपत्तिकर्या तया नु अधीतया तावतिवर्त्य परमार्थे तस्मिन्न् असौ स्थिरीभवतीत्य् आवश्यकं तदध्ययनात् । ","नन्व् अधीताद् वेदाद् एव तत्तदवगतिः स्याद् अध्ययनस्यार्थावबोधनपर्यन्तत्वात् । ततस् तत्प्रहाणे तदुपासने च धीः प्रवर्तते । किम् अनया चतुर्लक्षण्येन चेद्, उच्यते । आपाततः प्रतीताद् अर्थाद् वास्तवाद् अपि सꣳशयविपर्ययाभ्याꣳ धीर् विभ्रꣳशते । सोपपत्तिकर्या तया नु अधीतया तावतिवर्त्य परमार्थे तस्मिन्न् असौ स्थिरीभवतीत्य् आवश्यकꣳ तदध्ययनात् । "
69,ayam arthaḥ | āśrama-karmāṇi citta-śodhakatayā jñānāṅgāni bhavanti | tam etaṁ vedānuvacanena brāhmaṇā vividiṣanti yajñena dānena tapasānaśena [bṛ.ā.u. 4.4.] iti bṛhad-āraṇya-śruteḥ | satya-tapo-japādīni ca—satyena labhyas tapasā hy eṣa ātmā samyak jñānena brahmacaryeṇa nityam [mu.u. 3.1.5] iti muṇḍaka-śruteḥ | ,अयम् अर्थः । आश्रमकर्माणि चित्तशोधकतया ज्ञानाङ्गानि भवन्ति । तम् एतं वेदानुवचनेन ब्राह्मणा विविदिषन्ति यज्ञेन दानेन तपसानशेन [बृ.आ.उ. ४.४.] इति बृहदारण्यश्रुतेः । सत्यतपोजपादीनि च—सत्येन लभ्यस् तपसा ह्य् एष आत्मा सम्यक् ज्ञानेन ब्रह्मचर्येण नित्यम् [मु.उ. ३.१.५] इति मुण्डकश्रुतेः । ,अयम् अर्थः । आश्रमकर्माणि चित्तशोधकतया ज्ञानाङ्गानि भवन्ति । तम् एतꣳ वेदानुवचनेन ब्राह्मणा विविदिषन्ति यज्ञेन दानेन तपसानशेन [बृ.आ.उ. ४.४.] इति बृहदारण्यश्रुतेः । सत्यतपोजपादीनि च—सत्येन लभ्यस् तपसा ह्य् एष आत्मा सम्यक् ज्ञानेन ब्रह्मचर्येण नित्यम् [मु.उ. ३.१.५] इति मुण्डकश्रुतेः । 
71,japyenaiva ca saṁsidhyed brāhmaṇo nātra saṁśayaḥ |,जप्येनैव च संसिध्येद् ब्राह्मणो नात्र संशयः ।,जप्येनैव च सꣳसिध्येद् ब्राह्मणो नात्र सꣳशयः ।
74,tattva-vit prasaṅgaḥ khalu jñāna-hetuḥ nāradādīnāṁ sanat-kumārādi-prasaṅgena brahma-jijñāsā-darśanāt | ,तत्त्ववित् प्रसङ्गः खलु ज्ञानहेतुः नारदादीनां सनत्कुमारादिप्रसङ्गेन ब्रह्मजिज्ञासादर्शनात् । ,तत्त्ववित् प्रसङ्गः खलु ज्ञानहेतुः नारदादीनाꣳ सनत्कुमारादिप्रसङ्गेन ब्रह्मजिज्ञासादर्शनात् । 
77,upadekṣyanti te jñānaṁ jñāninas tattvadarśinaḥ || [gītā 4.34] iti smṛtibhyaś ca |,उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस् तत्त्वदर्शिनः ॥ [गीता ४.३४] इति स्मृतिभ्यश् च ।,उपदेक्ष्यन्ति ते ज्ञानꣳ ज्ञानिनस् तत्त्वदर्शिनः ॥ [गीता ४.३४] इति स्मृतिभ्यश् च ।
83,tad vijñānārthaṁ sa gurum evābhigacchet ,तद् विज्ञानार्थं स गुरुम् एवाभिगच्छेत् ,तद् विज्ञानार्थꣳ स गुरुम् एवाभिगच्छेत् 
84,samit-pāṇiḥ śrotriyaṁ brahma-niṣṭham || iti muṇḍaka-śruteḥ (1.2.12) |,समित्पाणिः श्रोत्रियं ब्रह्मनिष्ठम् ॥ इति मुण्डकश्रुतेः (१.२.१२) ।,समित्पाणिः श्रोत्रियꣳ ब्रह्मनिष्ठम् ॥ इति मुण्डकश्रुतेः (१.२.१२) ।
