paragraph_index,original_iast,run_count
45,"aiśvaryaṁ sarva-vaśīkāritvam | samagrasyeti sarvatrānveti | vīryaṁ maṇi-mantrāder iva prabhāvaḥ | yaśo vāṅ-manaḥ-śarīrāṇāṁ sādguṇya-khyātiḥ | śrīḥ sarva-prakārā sampat | jñānaṁ sarvajñatvam | vairāgyaṁ prapañca-vastv-anāsaktiḥ | iṅganā saṁjñā | akṣara-sāmya-pakṣe bha-ga-va-vān iti vaktavye matupo va-lopaś chāndasaḥ | sambhartety-ādiṣu sambhartṛtvādiṣv eva tātparyam, yathā sup-tiṅ-anta-cayo vākyam [amara 1.280] ity atra pacati bhavatīty asya vākyasya pāko bhavatīty arthaḥ kriyate | yathā vā, sattāyām asti bhavatīty atra dhātv-artha eva vivakṣitaḥ | tad evam eva bhagavān ity atra matub-artho yojayituṁ śakyate | ",18
46,"prakārāntareṇa ṣaḍ-bhagān darśayati—jñāna-śaktīti | jñānam antaḥ-karaṇasya, śaktir indriyāṇām | balaṁ śarīrasya | aiśvarya-vīrye vyākhyāte | tejaḥ kāntiḥ | aśeṣataḥ sāmagryeṇety arthaḥ | bhagavac-chabda-vācyānīti | bhagavato viśeṣaṇāny evaitāni, na tūpalakṣaṇānīty arthaḥ | atra bhagavān iti nitya-yoge matup | ",17
51,niṣṭhām arhatha no vaktuṁ yūyaṁ hi brahma-vittamāḥ || [bhā.pu. 11.3.35],2
56,sañjīvitāni tad avehi paraṁ narendra || [bhā.pu. 11.3.36],3
57,"atra praśnasyārthaḥ—nārāyaṇābhidhānasya bhagavataḥ | brahmeti paramātmety-ādi-prasiddha-tat-samudāya-tṛtīyatayā pāṭhāt | svāṁśena viṣṭaḥ puruṣābhidhānam avāpa nārāyaṇa ādi-devaḥ [bhā.pu. 11.4.3] iti atra tat-samānārthatvāt | nārāyaṇas tvaṁ [bhā.pu. 10.14.14] ity ādau vakṣyamāṇa-nirukty-anusārāc ca, nārāyaṇe turīyākhye bhagavac-chabda-śabdite [bhā.pu. 11.15.16] ity atra spaṣṭībhāvitvāc ca | niṣṭhāṁ tattvam | ",9
61,"tathā ca, tasmai namo bhagavate brahmaṇe paramātmane [bhā.pu. 10.28.7] ity atra varuṇa-kṛta-śrī-kṛṣṇa-stutau ṭīkā ca—paramātmane sarva-jīva-niyantre ity eṣā | jīvasyātmatvaṁ tad-apekṣayā tasya paramatvam ity ataḥ paramātma-śabdena tat-sahayogī sa eva vyajyate iti | tat-tad-aviśiṣṭatvena brahmatva-mātraṁ caivam upatiṣṭhatīty āha—svapneti | jāgare svapne suṣuptau ca yat tad-anvitaṁ, tad-bahiḥ samādhy-ādau ca yad avaśiṣṭaṁ cin-mātratvena prakāśamānaṁ tad brahma-rūpaṁ viddhi | yadyapi,",9
63,tāsāṁ vilakṣaṇo jīvaḥ sākṣitvena viniścitaḥ || [bhā.pu. 11.13. 27],2
73,paramānandam āpnoti yatra kāmo’vasīyate || [bhā.pu. 11.15.15-17],3
74,ṭīkā ca—try-adhīśvare triguṇa-māyā-niyantari | ata eva kāla-vigrahe ākalayitṛ-rūpe antaryāmiṇi | turīyākhye—,2
76,īśasya yat tribhir hīnaḥ turīyaṁ tat padaṁ viduḥ || ity evaṁ lakṣaṇe |,2
78,jñāna-vairāgyayoś caiva ṣaṇṇāṁ bhaga itīṅganā || [vi.pu. 6.5.74],2
79,tadvati bhagavac-chabda-śabdite | ity eṣā ||,2
81,atha vadantīty ādyasya padyasya pratyavasthānaṁ yāvat tṛtīya-sandarbham udbhāvyate | tatra yogyatā-vaiśiṣṭyenāvirbhāva-vaiśiṣṭyaṁ vaktuṁ brahmāvirbhāve tāvad yogyatām āha—,3
85,ananya-bodhyātmatayā na cānyathā || [bhā.pu. 10.14.6],2
86,"yadyapi brahmatve bhagavattve ca durjñeyatvam uktam, tathāpi he bhūman svarūpeṇa guṇena cānanta te tavāguṇasya anāviṣkṛta-svarūpa-bhūta-guṇasya yo mahimā mahattvaṁ bṛhattvaṁ, brahmatvam iti yāvat, atha kasmād ucyate brahma bṛṁhati bṛṁhayati ca [a.śi.u. 3.5] iti śruteḥ | sa tava mahimā amalāntarātmabhiḥ śuddhāntaḥ-karaṇair janair viboddhum arhati, teṣāṁ bodhe prakāśitum arhati, samartho bhavatīty arthaḥ |",7
87,kasmān nimittāt? tatrāha—svānubhavāt śuddha-tvaṁ-padārthasya bodhāt | ,3
88,"nanv anubhavaḥ khalv antaḥkaraṇasya vṛttiḥ | sā ca sthūla-sūkṣma-deha-vikāra-mayy eva satī, kathaṁ nirvikāra-tvam-padārthaḥ viṣayaṁ kurvīta ? tatrāha—avikriyāt tyakta-tat-tad-vikārāt |",3
89,"nanu viṣayākāra evānubhavo viṣayam upādadīta | śuddha-tvam-padārthas tu na kasyāpi viṣayaḥ syāt, pratyag-rūpatvāt | tatrāha—arūpataḥ rūpyate bhāvyate iti rūpo viṣayaḥ, tad-ākāratā-rahitāt | adeha-dvayāveśa-viṣayākāratā-rāhitye sati svayaṁ śuddha-tvaṁ-padārthaḥ prakāśata iti bhāvaḥ | ",6
90,"nanu sūkṣma-cid-rūpa-tvam-padārthānubhave kathaṁ pūrṇa-cid-ākāra-rūpa-madīya-brahma-svarūpaṁ sphuratu ? tatrāha—ananya-bodhyātmatayā cid-ākāratā-sāmyena śuddha-tvaṁ-padārthaikya-bodhya-svarūpatayā |5b yadyapi tādṛg-ātmānubhavānantaraṁ tad-ananya-bodhyatākṛtau sādhaka-śaktir nāsti, tathāpi pūrvaṁ tad-artham eva kṛtayā sarvatrāpy upajīvyayā sādhana-bhaktyārādhitasya śrī-bhagavataḥ prabhāvād eva tad api tatrodayata iti bhāvaḥ |",5
91,tad uktam vadantīty-ādi-padyānantaram eva—,3
95,bhaktyā śruta-gṛhītayā || [bhā.pu. 1.2.12] iti.,2
100,sampraśnair vivṛtaṁ hṛdi || [bhā.pu. 8.24.38] iti ||,2
108,brahmeti yad vidur ajasra-sukhaṁ viśokam || [bhā.pu. 2.7.47-48],3
111,"atha tasya sukha-rūpasya ajasratve hetum āha—śāśvat praśāntaṁ nityam eva kṣobha-rahitaṁ, tadvad abhayaṁ bhaya-śūnyaṁ, viśokaṁ śoka-rahitaṁ ceti | na ca sukha-rūpatve tasya puṇya-janyatvaṁ syād ity āha—śabdo na yatreti | yatra kriyārtho yajñādy-arthaḥ puru-kārakavān śabdo na pravartate ity arthaḥ | tvaṁ tv aupaniṣadaṁ puruṣam [bṛ.ā.u. 3.9.26] ity-ādi-rītyā kevalam upaniṣad eva prakāśikā bhavatīty arthaḥ | ",3
118,apaśyat puruṣaṁ pūrṇaṁ [bhā.pu. 1.7.4] iti | ,3
122,āsse śrutekṣita-patho nanu nātha puṁsām || [bhā.pu. 3.9.11] iti ||,4
166,priyaḥ priyaṁ prīta-manāḥ kare spṛśan ||18|| [bhā.pu. 12.8.45-18],3
171,pratijagmuḥ pramuditāḥ śaṁsanto vaiṣṇavīṁ śriyam || [bhā.pu. 3.16.27-8] ,2
177,"(10) punas tādṛśatvam eva vyanakti—pravartate iti | yatra vaikuṇṭhe rajas tamaś ca na pravartate | tayor miśraṁ sahacaraṁ jaḍaṁ yat sattvaṁ, na tad api, kintu anyad eva | tac ca yā suṣṭhu sthāpayiṣyamāṇā māyātaḥ parā bhagavat-svarūpa-śaktiḥ, tasyā vṛttitvena cid-rūpaṁ śuddha-sattvākhyaṁ sattvam iti tadīya-prakaraṇa eva sthāpayiṣyate | tad eva ca yatra pravartate ity arthaḥ | ",3
178,tathā ca nārada-pañcarātre jitante-stotre—,3
183,"pādmottara-khaṇḍe tu vaikuṇṭha-nirūpaṇe tasya sattvasyāprākṛtatvaṁ sphuṭam evaṁ darśitam, yataḥ prakṛti-vibhūti-varṇanānantaram—",2
190,śuddha-sattva-mayaṁ divyam akṣaraṁ brahmaṇaḥ padam || [pa.pu. 6.227.57-60] ity-ādi ||,4
191,prākṛta-guṇānāṁ parasparāvyabhicāritvaṁ tūktaṁ sāṅkhya-kaumudyāṁ—anyonya-mithuna-vṛttaya iti | taṭ-ṭīkāyāṁ ca—anyonya-sahacarā avinābhāva-vartina iti yāvat | bhavati cātrāgamaḥ—,5
193,"rajaso mithunaṁ sattvam ity ādy upakramya ,",3
194,naiṣām ādiś ca saṁyogo viyogo copalabhyate || iti ||,2
208,loko yato’bhayam utātma-sukhaṁ na cānyad || [bhā.pu. 12.8.45-46] iti ||,2
212,"atra sattva-śabdena sva-prakāśatā-lakṣaṇa-svarūpa-śakti-vṛtti-viśeṣa ucyate, sattvaṁ viśuddhaṁ vasudeva-śabditaṁ yad īyate tatra pumān apāvṛtaḥ [bhā.pu. 4.3.23] ity-ādy-udāhariṣyamāṇānusārāt agocarasya [prākṛtāpratyakṣa-vastunaḥ pratyakṣatve kāraṇaṁ prākṛtaṁ sattvaṁ] gocaratve hetuḥ prakṛti-guṇaḥ sattvam ity aśuddha-sattva-lakṣaṇa-prasiddhy-anusāreṇa tathābhūtaś [aprākṛtāpratyakṣa-vastunaḥ pratyakṣatve kāraṇaṁ] cic-chakti-vṛtti-viśeṣaḥ sattvam iti saṅgati-lābhāc ca | ",7
213,"tataś ca tasya svarūpa-śakti-vṛttitvena svarūpātmataivety uktam—tad abhayam ātma-sukham iti | śaktitva-prādhānya-vivakṣayoktaṁ—loko yata iti | arthāntare bhagavad-vigrahaṁ prati rūpaṁ yad etad [bhā.pu. 3.9.2] ity-ādau śuddha-sattva-svarūpa-mātratva-pratijñā-bhaṅgaḥ, abhayam ity-ādau prāñjalatā-hāniś ca bhavati | ",5
215,"yad evaikādaśe yat-kāya eṣa bhuvana-traya-sanniveśaḥ [bhā.pu. 11.4.4] ity ādau, jñānaṁ svata ity atra ṭīkā-kṛn-mataṁ yasya svarūpa-bhūtāt sattvāt tanu-bhṛtāṁ jñānam ity anena, tathā paro-rajaḥ savitur jāta-vedā devasya bhargaḥ [bhā.pu. 5.7.14] ity-ādau śrī-bharata-jāpye tan-mataṁ paro-rajaḥ rajasaḥ prakṛteḥ paraṁ śuddha-sattvātmakam ity ādinā, ata eva prākṛtāḥ sattvādayo guṇā jīvasyaiva, na tv īśasyeti śrūyate | ",11
216,athaikādaśe sattvaṁ rajas tama iti guṇā jīvasya naiva me [bhā.pu. 11.25.12] iti | śrī-bhagavad-upaniṣatsu ca—,5
222,mām eva ye prapadyante māyām etāṁ taranti te || [gītā 7.12-4] iti |,2
223,yathā daśame—,3
225,sa sarva-dṛg upadraṣṭā taṁ bhajan nirguṇo bhavet || [bhā.pu. 10.88.5] iti |,2
228,sa śuddhaḥ sarva-śuddhebhyaḥ pumān ādyaḥ prasīdatu || [vi.pu. 1.9.44] iti |,2
231,hlāda-tāpa-karī miśrā tvayi no guṇa-varjite || [vi.pu. 1.12.69] iti |,2
236,na vidyate te’graṇānubandha || [bhā.pu. 10.27.4] iti |,2
237,"ayam arthaḥ—dhāma svarūpa-bhūta-prakāśa-śaktiḥ | viśuddhatvam āha viśeṣaṇa-dvayena | dhvasta-rajas-tamaskaṁ tapo-mayam iti ca | tapo’tra jñānaṁ, sa tapo’tapyata [tai.u. 2.6, bṛ.ā.u. 1.2.6] iti śruteḥ | tapo-mayaṁ pracura-jñāna-svarūpam, jāḍyāṁśenāpi rahitam ity arthaḥ | ātmā jñāna-mayaḥ śuddhaḥ [bhā.pu. 10.47.31] itivat | ataḥ prākṛta-sattvam api vyāvṛttam | ata eva māyā-mayo’yaṁ sattvādi-guṇa-pravāhas te tava na vidyate, yato’sāv ajñānenaivānubandha iti |",11
246,prakāśate yasya ca yena vā guṇaḥ || [bhā.pu. 10.2.34-35],2
248,"kim arthaṁ śraye ? śarīriṇāṁ sthitau, nija-caraṇāravinde manaḥ-sthairyāya sarvatra bhakti-sukha-dānasyaiva tvadīya-mukhya-prayojanatvād iti bhāvaḥ, bhakti-yoga-vidhānārtham [bhā.pu. 1.8.19] iti śrī-kuntī-vākyāt |",3
254,atha rajo-leśe tatra mantavye viśuddha-pada-vaiyarthyam ity alaṁ tan-mata-rajo-ghaṭa-praghaṭṭanayeti | pādmottara-khaṇḍe tu vaikuṇṭha-nirūpaṇe tasya sattvasyāprākṛtatvaṁ sphuṭam eva darśitam | yata uktaṁ prakṛti-vibhūti-varṇanānantaram |,3
261,śuddha-sattva-mayaṁ divyam akṣaraṁ brahmaṇaḥ padam || ity-ādi |,3
264,"atha pravartate (10) ity-ādi prakṛtam eva padyaṁ vyākhyāyate | nanu guṇādy-abhāvān nirviśeṣa evāsau lokaḥ ? ity āśaṅkya tatra viśeṣas tasyāḥ śuddha-sattvātmikāyāḥ svarūpānatirikta-śakter eva vilāsa-rūpa iti dyotayaṁs tam eva viśeṣaṁ darśayati—harer iti | surāḥ sattva-prabhavāḥ, asurāḥ rajas-tamaḥ-prabhavāḥ, tair arcitāḥ | tebhyo’rhattamā ity arthaḥ, guṇātītatvād eveti bhāvaḥ |",5
265,(11) tān eva varṇayati—śyāmāvadātā iti | śyāmāś ca avadātā ujjvalāś ca te | padma-netrāḥ pīta-vastrāḥ suruco’tikamnīyāḥ supeśaso’tisukumārāḥ | unmiṣanta iva prabhāvanto maṇi-pravekā maṇy-uttamā yeṣu tāni niṣkāṇi padakāny ābharaṇāni yeṣāṁ te suvarcasas tejasvinaḥ |,3
266,(12) pravāleti | ke’pi tebhyaḥ śrī-bhagavat-sārūpyaṁ labdhavadbhyo’nye pravālādi-sama-varṇāḥ | ,3
267,(13) punar api lokaṁ varṇayati—bhrājiṣṇubhir iti | ,3
268,"(14) śrīr yatreti | śrīḥ svarūpa-śaktiḥ rūpiṇī tat-preyasī-rūpā mānaṁ pūjāṁ vibhūtibhiḥ rūpiṇī tat preyasī-rūpā mānaṁ pūjāṁ vibhūtibhiḥ sva-sakhī-rūpābhiḥ | preṅkham āndolanaṁ śritā vilāsena | kusumākāro vasantaḥ, tad-anugā bhramarāḥ, tair vividhaṁ gīyamānā | svayaṁ priyasya hareḥ karma gāyantī bhavati | ",6
270,"(15) [bhā.pu. 2.9.14] dadarśeti | tatra loka iti prāktanānāṁ yac-chabdānāṁ viśeṣyam | akhila-sātvatāṁ sarveṣāṁ sātvatānāṁ yādava-vīrāṇāṁ patiḥ, ",7
274,prasīdatāṁ me bhagavan satāṁ patiḥ || [bhā.pu. 2.4.20] ity etad vākya-saṁvāditvāt | ,2
279,yat sūrayo bhāgavataṁ vadanti || [bhā.pu. 3.4.13]  ,3
284,mumukṣur vai śaraṇam amuṁ vrajet || [go.tā.u. 1.22] ,2
285,"iti śrī-gopāla-tāpany-anusāreṇa ca tasmai vopadeṣṭṛtva-śruteḥ, tad u hovāca brāhmaṇo'sāv anavarataṁ me dhyātaḥ stutaḥ parārdhānte so’budhyata gopa-veśo me purastād āvirbabhūva [go.tā.u. 1.25] iti śrī-gopāla-tāpany-anusāreṇaiva kvacit kalpe śrī-gopāla-rūpeṇa ca sṛṣṭy-ādāv ittham eva brahmaṇe darśita-nija-rūpatvāt, tad-dhāmno mahā-vaikuṇṭhatvena śrī-kṛṣṇa-sandarbhe sādhayiṣyamāṇatvāc ca |",9
286,dvārakāyāṁ prākaṭyāvasare śruta-sunanda-nandādi-sāhacaryeṇa śrī-prabalādayo’pi jñeyāḥ | yathoktaṁ prathame—sunanda-nanda-śīrṣaṇyā ye cānye sātvata-rṣabhā [bhā.pu. 1.14.32] iti | ,3
288,(16) [bhā.pu. 2.9.16] bhṛtya-prasāda iti | dṛg evāsava iva draṣṭṝṇāṁ mada-karī yasya tam | śriyā vakṣo-vāma-bhāge svarṇa-rekhākārayā | ,5
289,"(17) adhyarhaṇīyeti | catasraḥ śaktayo dharmādyāḥ | padmottara-khaṇḍe yoga-pīṭhe ta eva kathitāḥ—na bahiraṅgā adharmādyā iti | tathā hi, ",7
291,ṛg-yajuḥ-sāmātharvāṇa-rūpair nityaṁ vṛtaṁ kramāt || [pa.pu. 6.228.21] iti | ,4
292,samastāntas tathā-śabda-prayogas tv ārṣaḥ | ṣoḍaśa-śaktayaś caṇḍādyāḥ | tathā ca tatraiva—caṇḍādi-dvāra-pālais tu kumudādyaiḥ surakṣitā [pa.pu. 6.228.13] iti | nagarīti pūrveṇānvayaḥ | te ca—,3
297,ete dik-patayaḥ proktāḥ puryām atra suśobhane || [pa.pu. 6.228.13-15] iti |,2
300,chandāṁsi sarva-mantrāś ca pīṭha-rūpatvam āsthitā || [pa.pu. 6.228.24] iti ||,2
303,"atra ṣoḍaśa-śaktayaḥ sākṣāt śrī-kṛṣṇa eva, śrī-kṛṣṇa-sandarbhe purastād udāhariṣyamāṇa-prabhāsa-khaṇḍa-vacanāt śrutālambiny-ādaya eva vā jñeyā iti | ",3
304,"svaiḥ [bhagaiḥ] svarūpa-bhūtair aiśvaryādibhir yuktam | itaratra yogiṣu adhruvaiḥ prāptair ity arthaḥ | sve sva-svarūpa eva, dhāmani śrī-vaikuṇṭhe ramamāṇaṁ ata eveśvaram, katham api parādhīna-siddhatvābhāvāt |",8
306,(18) [bhā.pu. 2.9.17] tad-darśana iti | yat padāmbujaṁ pāramahaṁsyena pathādhigamyata iti saccidānanda-ghanatvaṁ tasya vyanakti | ,5
307,(19) taṁ prīyamāṇam iti taṁ brahmāṇaṁ bhagavān babhāṣe | prajā-visarge kārye nijasya svāṁśa-bhūtasya puruṣasya śāsane’rhaṇaṁ yogyam |,3
308,"nanv asau puruṣa eva tam anugṛhṇātu, śrī-bhagavatas tu parāvasthatvāt tena prākṛta-sṛṣṭi-kartrā sambandho’pi na sambandha ity āśaṅkya tasya bhakta-vātsalyātiśaya evāyam ity āha—priyaṁ tasmin premavantam | yataḥ so’pi priyaḥ prema-vaśaḥ | tatrāpi prīyamāṇām iti prīta-manā iti ca viśeṣaṇaṁ tadānīṁ premollāsātiśaya-dyotakam | taṁ prati bhagavat-prīti-cihna-darśanena tasyāpi tatra prīty-atiśayaṁ vyañjayati—īṣat-smita-rociṣā girā iti, kare spṛśan iti ca | ",13
318,atha tepe sa suciraṁ prīṇan govindam avyayam || ity ādi || ,2
