paragraph_index,original_iast,aksharamukha_output,sanscript_output
14,"kiṁ ca, yatra caitanyaṁ tatraivājñānam iti niyama-darśanena tat-sattāpi tata eveti paryavasānāt tasyāḥ sphorakatā-liṅgena svarūpa-śakti-rūpo labhyate ||","किं च, यत्र चैतन्यं तत्रैवाज्ञानम् इति नियमदर्शनेन तत्सत्तापि तत एवेति पर्यवसानात् तस्याः स्फोरकतालिङ्गेन स्वरूपशक्तिरूपो लभ्यते ॥","किꣳ च, यत्र चैतन्यꣳ तत्रैवाज्ञानम् इति नियमदर्शनेन तत्सत्तापि तत एवेति पर्यवसानात् तस्याः स्फोरकतालिङ्गेन स्वरूपशक्तिरूपो लभ्यते ॥"
15,ata eva kasmād ucyate brahma “bṛṁhati bṛṁhayati ca” iti | bṛhattvād bṛṁhaṇatvāc ca yad brahma paramaṁ viduḥ iti viṣṇu-purāṇaṁ ca bṛṁhaṇatvena śaktimattvaṁ darśayati | tat-sannidhāna-balenaiva tathātathā-bhāve’nyeṣām aṅgīkṛte’pi śaktir eva paryavasyatīti |,अत एव कस्माद् उच्यते ब्रह्म “बृंहति बृंहयति च” इति । बृहत्त्वाद् बृंहणत्वाच् च यद् ब्रह्म परमं विदुः इति विष्णुपुराणं च बृंहणत्वेन शक्तिमत्त्वं दर्शयति । तत्सन्निधानबलेनैव तथातथाभावेऽन्येषाम् अङ्गीकृतेऽपि शक्तिर् एव पर्यवस्यतीति ।,अत एव कस्माद् उच्यते ब्रह्म “बृꣳहति बृꣳहयति च” इति । बृहत्त्वाद् बृꣳहणत्वाच् च यद् ब्रह्म परमꣳ विदुः इति विष्णुपुराणꣳ च बृꣳहणत्वेन शक्तिमत्त्वꣳ दर्शयति । तत्सन्निधानबलेनैव तथातथाभावेऽन्येषाम् अङ्गीकृतेऽपि शक्तिर् एव पर्यवस्यतीति ।
16,pravṛtteś ca [ve.sū. 2.2.2] ity atrādvaita-śārīraka-kṛtāpi—,प्रवृत्तेश् च [वे।सू। २।२।२] इत्य् अत्राद्वैतशारीरककृतापि—,प्रवृत्तेश् च [वे.सू. २.२.२] इत्य् अत्राद्वैतशारीरककृतापि—
17,"nanu tava dehādi-saṁyuktasyāpy ātmano vijñāna-svarūpa-mātravyatirekeṇa pravṛtty-anupapatter anupapannaṁ pravartakatvam iti cet, na | ayaskāntavad rūpādivac ca pravṛtti-rahitasyāpi pravartakatvopapatteḥ || iti |","ननु तव देहादिसंयुक्तस्याप्य् आत्मनो विज्ञानस्वरूपमात्रव्यतिरेकेण प्रवृत्त्यनुपपत्तेर् अनुपपन्नं प्रवर्तकत्वम् इति चेत्, न । अयस्कान्तवद् रूपादिवच् च प्रवृत्तिरहितस्यापि प्रवर्तकत्वोपपत्तेः ॥ इति ।","ननु तव देहादिसꣳयुक्तस्याप्य् आत्मनो विज्ञानस्वरूपमात्रव्यतिरेकेण प्रवृत्त्यनुपपत्तेर् अनुपपन्नꣳ प्रवर्तकत्वम् इति चेत्, न । अयस्कान्तवद् रूपादिवच् च प्रवृत्तिरहितस्यापि प्रवर्तकत्वोपपत्तेः ॥ इति ।"
18,"nanu yena jagad-rūpeṇa kāryeṇa yad ajñānam aṅgīkriyate, vastutas tayor dvayor apy asattvāt tat-pravartakādi-lakṣitā śaktir api brahmaṇo nāsty eveti cet ? na, tathā ca sati jagaj-janmādi-lakṣitasya tasyāpy asattva-prasaṅgaḥ | sati ca tasminn ajñāna-tat-kāryātiriktatvena svarūpa-bhūtāyās tathā sthiti-durnivāraiva virodhino’sattvāt | sa hi savitṛ-prakāśaḥ prakāśya-nāśe naśyati | savitaiva tiṣṭhatīti yuktaṁ, tathārdha-kukkuṭīvad upahāsyaṁ cedaṁ syād iti |","ननु येन जगद्रूपेण कार्येण यद् अज्ञानम् अङ्गीक्रियते, वस्तुतस् तयोर् द्वयोर् अप्य् असत्त्वात् तत्प्रवर्तकादिलक्षिता शक्तिर् अपि ब्रह्मणो नास्त्य् एवेति चेत् ? न, तथा च सति जगज्जन्मादिलक्षितस्य तस्याप्य् असत्त्वप्रसङ्गः । सति च तस्मिन्न् अज्ञानतत्कार्यातिरिक्तत्वेन स्वरूपभूतायास् तथा स्थितिदुर्निवारैव विरोधिनोऽसत्त्वात् । स हि सवितृप्रकाशः प्रकाश्यनाशे नश्यति । सवितैव तिष्ठतीति युक्तं, तथार्धकुक्कुटीवद् उपहास्यं चेदं स्याद् इति ।","ननु येन जगद्रूपेण कार्येण यद् अज्ञानम् अङ्गीक्रियते, वस्तुतस् तयोर् द्वयोर् अप्य् असत्त्वात् तत्प्रवर्तकादिलक्षिता शक्तिर् अपि ब्रह्मणो नास्त्य् एवेति चेत् ? न, तथा च सति जगज्जन्मादिलक्षितस्य तस्याप्य् असत्त्वप्रसङ्गः । सति च तस्मिन्न् अज्ञानतत्कार्यातिरिक्तत्वेन स्वरूपभूतायास् तथा स्थितिदुर्निवारैव विरोधिनोऽसत्त्वात् । स हि सवितृप्रकाशः प्रकाश्यनाशे नश्यति । सवितैव तिष्ठतीति युक्तꣳ, तथार्धकुक्कुटीवद् उपहास्यꣳ चेदꣳ स्याद् इति ।"
21,tathā tadīya-sahasra-nāma-bhāṣye—svarūpa-sāmarthyena na cyuto na cyavate na cyaviṣyata ity acyutaḥ | śāśvataṁ śivam acyutam iti śruter iti |,तथा तदीयसहस्रनामभाष्ये—स्वरूपसामर्थ्येन न च्युतो न च्यवते न च्यविष्यत इत्य् अच्युतः । शाश्वतं शिवम् अच्युतम् इति श्रुतेर् इति ।,तथा तदीयसहस्रनामभाष्ये—स्वरूपसामर्थ्येन न च्युतो न च्यवते न च्यविष्यत इत्य् अच्युतः । शाश्वतꣳ शिवम् अच्युतम् इति श्रुतेर् इति ।
22,"tasmād vastunaḥ śaktiḥ kārya-pūrvottara-kāle’pi mantrāder ivāsty eva, kārya-kālaṁ prāpya tu vyaktībhavatīty eva viśeṣaḥ | tad brahmaṇo’pi bhaviṣyati | evam advaita-śārīrake’py uktam— viṣayābhāvād iyam acetayamānatā, na caitanyābhāvād iti [śāṅkara-bhāṣya 2.3.18] iti |","तस्माद् वस्तुनः शक्तिः कार्यपूर्वोत्तरकालेऽपि मन्त्रादेर् इवास्त्य् एव, कार्यकालं प्राप्य तु व्यक्तीभवतीत्य् एव विशेषः । तद् ब्रह्मणोऽपि भविष्यति । एवम् अद्वैतशारीरकेऽप्य् उक्तम्— विषयाभावाद् इयम् अचेतयमानता, न चैतन्याभावाद् इति [शाङ्करभाष्य २.३.१८] इति ।","तस्माद् वस्तुनः शक्तिः कार्यपूर्वोत्तरकालेऽपि मन्त्रादेर् इवास्त्य् एव, कार्यकालꣳ प्राप्य तु व्यक्तीभवतीत्य् एव विशेषः । तद् ब्रह्मणोऽपि भविष्यति । एवम् अद्वैतशारीरकेऽप्य् उक्तम्— विषयाभावाद् इयम् अचेतयमानता, न चैतन्याभावाद् इति [शाङ्करभाष्य २.३.१८] इति ।"
23,"kiṁ ca, śakter apy utpatti-nāśābhyupagame kāryatvam eva syāt, na tu kāraṇatvam | tatas tasyāḥ svarūpa-hāniś ca | kiṁ ca, jñānavad āśrayam ajñānaṁ sambhavati, na jñāna-mātrāśrayam iti | tenaivājñānena tad-vilakṣaṇa-jñānam api tatrāvaśyaṁ bhavet ity ato’pi tatra bhavec chaktiḥ |","किं च, शक्तेर् अप्य् उत्पत्तिनाशाभ्युपगमे कार्यत्वम् एव स्यात्, न तु कारणत्वम् । ततस् तस्याः स्वरूपहानिश् च । किं च, ज्ञानवद् आश्रयम् अज्ञानं सम्भवति, न ज्ञानमात्राश्रयम् इति । तेनैवाज्ञानेन तद्विलक्षणज्ञानम् अपि तत्रावश्यं भवेत् इत्य् अतोऽपि तत्र भवेच् छक्तिः ।","किꣳ च, शक्तेर् अप्य् उत्पत्तिनाशाभ्युपगमे कार्यत्वम् एव स्यात्, न तु कारणत्वम् । ततस् तस्याः स्वरूपहानिश् च । किꣳ च, ज्ञानवद् आश्रयम् अज्ञानꣳ सम्भवति, न ज्ञानमात्राश्रयम् इति । तेनैवाज्ञानेन तद्विलक्षणज्ञानम् अपि तत्रावश्यꣳ भवेत् इत्य् अतोऽपि तत्र भवेच् छक्तिः ।"
24,"api ca, cin-mātra-brahma-vyatirikta-kṛtsna-niṣedha-viṣaya-jñānasya ko’yaṁ jñānī ? adhyāsa-svarūpa eveti cet, na, tasya niṣedhyatayā nivartaka-jñāna-karmatvāt kartṛtvānupapatteḥ | brahma-svarūpam eveti cet, brahmaṇo nivartaka-jñānaṁ prati jñātṛtvaṁ kiṁ svarūpam utādhyāstaṁ ? adhyastaṁ cet, ayam adhyāsas tan-mūlāvidyāntaraṁ ca nivartaka-jñānāpekṣayā tiṣṭhaty eva, nivartaka-jñānāntarābhyupagame tasyāpi nirūpatvāt jñātr-apekṣayānavasthā syāt, jñātṛtvasya brahma-svarūpatve asmadīya eva pakṣaḥ parigṛhītaḥ syāt |","अपि च, चिन्मात्रब्रह्मव्यतिरिक्तकृत्स्ननिषेधविषयज्ञानस्य कोऽयं ज्ञानी ? अध्यासस्वरूप एवेति चेत्, न, तस्य निषेध्यतया निवर्तकज्ञानकर्मत्वात् कर्तृत्वानुपपत्तेः । ब्रह्मस्वरूपम् एवेति चेत्, ब्रह्मणो निवर्तकज्ञानं प्रति ज्ञातृत्वं किं स्वरूपम् उताध्यास्तं ? अध्यस्तं चेत्, अयम् अध्यासस् तन्मूलाविद्यान्तरं च निवर्तकज्ञानापेक्षया तिष्ठत्य् एव, निवर्तकज्ञानान्तराभ्युपगमे तस्यापि निरूपत्वात् ज्ञात्रपेक्षयानवस्था स्यात्, ज्ञातृत्वस्य ब्रह्मस्वरूपत्वे अस्मदीय एव पक्षः परिगृहीतः स्यात् ।","अपि च, चिन्मात्रब्रह्मव्यतिरिक्तकृत्स्ननिषेधविषयज्ञानस्य कोऽयꣳ ज्ञानी ? अध्यासस्वरूप एवेति चेत्, न, तस्य निषेध्यतया निवर्तकज्ञानकर्मत्वात् कर्तृत्वानुपपत्तेः । ब्रह्मस्वरूपम् एवेति चेत्, ब्रह्मणो निवर्तकज्ञानꣳ प्रति ज्ञातृत्वꣳ किꣳ स्वरूपम् उताध्यास्तꣳ ? अध्यस्तꣳ चेत्, अयम् अध्यासस् तन्मूलाविद्यान्तरꣳ च निवर्तकज्ञानापेक्षया तिष्ठत्य् एव, निवर्तकज्ञानान्तराभ्युपगमे तस्यापि निरूपत्वात् ज्ञात्रपेक्षयानवस्था स्यात्, ज्ञातृत्वस्य ब्रह्मस्वरूपत्वे अस्मदीय एव पक्षः परिगृहीतः स्यात् ।"
25,"kiṁ ca, nityaṁ jñānam eva sarva-sphūrtau kāraṇam iti—tathā-bhūtasya jñānasya kenāpy aprameyatvāt, pramāṇair anyāpohatve’pi nikṛṣṭa-vastv-asparśena śūnya-pratīti-mātrasyānarhatvāt vivekāvasthāyāṁ yat tasyāstitvena pratyayanaṁ tat pāriśeṣya-pramāṇena svayam eva bhaved iti cāsty eva tādṛśī śaktiḥ | kaivalye tu sā nirāvaraṇā bhaviṣyatīti yuktyā labhyate | ","किं च, नित्यं ज्ञानम् एव सर्वस्फूर्तौ कारणम् इति—तथाभूतस्य ज्ञानस्य केनाप्य् अप्रमेयत्वात्, प्रमाणैर् अन्यापोहत्वेऽपि निकृष्टवस्त्वस्पर्शेन शून्यप्रतीतिमात्रस्यानर्हत्वात् विवेकावस्थायां यत् तस्यास्तित्वेन प्रत्ययनं तत् पारिशेष्यप्रमाणेन स्वयम् एव भवेद् इति चास्त्य् एव तादृशी शक्तिः । कैवल्ये तु सा निरावरणा भविष्यतीति युक्त्या लभ्यते । ","किꣳ च, नित्यꣳ ज्ञानम् एव सर्वस्फूर्तौ कारणम् इति—तथाभूतस्य ज्ञानस्य केनाप्य् अप्रमेयत्वात्, प्रमाणैर् अन्यापोहत्वेऽपि निकृष्टवस्त्वस्पर्शेन शून्यप्रतीतिमात्रस्यानर्हत्वात् विवेकावस्थायाꣳ यत् तस्यास्तित्वेन प्रत्ययनꣳ तत् पारिशेष्यप्रमाणेन स्वयम् एव भवेद् इति चास्त्य् एव तादृशी शक्तिः । कैवल्ये तु सा निरावरणा भविष्यतीति युक्त्या लभ्यते । "
